timestamp,value,gesture
1780322289.630046,538,relax
1780322289.650629,524,relax
1780322289.670493,528,relax
1780322289.691635,532,relax
1780322289.708057,544,relax
1780322289.728729,538,relax
1780322289.748312,548,relax
1780322289.769645,536,relax
1780322289.790069,535,relax
1780322289.809837,521,relax
1780322289.831074,518,relax
1780322289.851422,525,relax
1780322289.871660,518,relax
1780322289.887314,537,relax
1780322289.908341,541,relax
1780322289.928313,539,relax
1780322289.949317,524,relax
1780322289.970093,532,relax
1780322289.990676,533,relax
1780322290.011099,521,relax
1780322290.031500,522,relax
1780322290.052102,530,relax
1780322290.072685,520,relax
1780322290.089109,521,relax
1780322290.109692,521,relax
1780322290.129313,523,relax
1780322290.150698,534,relax
1780322290.170701,534,relax
1780322290.191703,551,relax
1780322290.211706,517,relax
1780322290.231843,520,relax
1780322290.252712,516,relax
1780322290.269135,538,relax
1780322290.289717,505,relax
1780322290.310140,515,relax
1780322290.330317,505,relax
1780322290.351146,521,relax
1780322290.370896,533,relax
1780322290.392151,523,relax
1780322290.412734,523,relax
1780322290.428311,521,relax
1780322290.449311,518,relax
1780322290.469742,521,relax
1780322290.490745,519,relax
1780322290.510747,516,relax
1780322290.530484,521,relax
1780322290.551753,539,relax
1780322290.572176,524,relax
1780322290.592758,514,relax
1780322290.609181,522,relax
1780322290.629753,517,relax
1780322290.650187,515,relax
1780322290.670769,526,relax
1780322290.691193,535,relax
1780322290.711484,517,relax
1780322290.731498,495,relax
1780322290.752781,511,relax
1780322290.773204,525,relax
1780322290.789786,509,relax
1780322290.809789,523,relax
1780322290.830212,508,relax
1780322290.850794,513,relax
1780322290.871324,524,relax
1780322290.891800,515,relax
1780322290.912223,526,relax
1780322290.932805,497,relax
1780322290.952640,511,relax
1780322290.973808,515,relax
1780322290.990233,504,relax
1780322291.010816,499,relax
1780322291.031319,518,relax
1780322291.051822,510,relax
1780322291.072311,507,relax
1780322291.092827,517,relax
1780322291.112830,512,relax
1780322291.133313,503,relax
1780322291.153835,512,relax
1780322291.170259,502,relax
1780322291.190841,507,relax
1780322291.211309,498,relax
1780322291.231863,511,relax
1780322291.252270,516,relax
1780322291.272852,517,relax
1780322291.292506,516,relax
1780322291.313858,522,relax
1780322291.330281,528,relax
1780322291.350863,509,relax
1780322291.371324,502,relax
1780322291.391869,510,relax
1780322291.411871,493,relax
1780322291.432875,509,relax
1780322291.452877,529,relax
1780322291.473300,507,relax
1780322291.493883,520,relax
1780322291.509717,518,relax
1780322291.530327,514,relax
1780322291.551322,519,relax
1780322291.571893,518,relax
1780322291.592316,517,relax
1780322291.612899,516,relax
1780322291.633322,538,relax
1780322291.653905,497,relax
1780322291.669907,493,relax
1780322291.690910,514,relax
1780322291.710773,505,relax
1780322291.731339,511,relax
1780322291.751918,499,relax
1780322291.772341,519,relax
1780322291.792924,519,relax
1780322291.813347,510,relax
1780322291.833618,509,relax
1780322291.854350,503,relax
1780322291.874724,514,relax
1780322291.891384,519,relax
1780322291.911940,484,relax
1780322291.932337,498,relax
1780322291.952351,507,relax
1780322291.973109,506,relax
1780322291.993738,516,relax
1780322292.014373,504,relax
1780322292.034866,500,relax
1780322292.054891,500,relax
1780322292.071382,521,relax
1780322292.091717,491,relax
1780322292.112172,496,relax
1780322292.133044,488,relax
1780322292.153177,503,relax
1780322292.173698,520,relax
1780322292.194164,518,relax
1780322292.214982,487,relax
1780322292.231069,496,relax
1780322292.251713,513,relax
1780322292.272410,511,relax
1780322292.293086,514,relax
1780322292.313143,507,relax
1780322292.334065,495,relax
1780322292.354017,502,relax
1780322292.374997,499,relax
1780322292.395006,483,relax
1780322292.411429,490,relax
1780322292.431313,492,relax
1780322292.452435,496,relax
1780322292.473017,498,relax
1780322292.493519,504,relax
1780322292.514023,512,relax
1780322292.533717,513,relax
1780322292.555028,504,relax
1780322292.571451,490,relax
1780322292.591310,492,relax
1780322292.612046,472,relax
1780322292.633039,513,relax
1780322292.653042,485,relax
1780322292.674045,478,relax
1780322292.694048,492,relax
1780322292.714471,494,relax
1780322292.735054,503,relax
1780322292.751395,505,relax
1780322292.776056,498,relax
1780322292.792481,508,relax
1780322292.813064,488,relax
1780322292.833488,494,relax
1780322292.854070,512,relax
1780322292.874493,483,relax
1780322292.895076,484,relax
1780322292.915496,491,relax
1780322292.935198,480,relax
1780322292.951310,493,relax
1780322292.972507,503,relax
1780322292.993089,499,relax
1780322293.013339,506,relax
1780322298.895901,513,relax
1780322298.916324,491,relax
1780322298.936907,500,relax
1780322298.953173,504,relax
1780322298.973911,507,relax
1780322298.994335,530,relax
1780322299.014917,541,relax
1780322299.035155,539,relax
1780322299.055923,532,relax
1780322299.075926,541,relax
1780322299.096929,543,relax
1780322299.116176,530,relax
1780322299.137185,523,relax
1780322299.157152,536,relax
1780322299.174359,524,relax
1780322299.194942,524,relax
1780322299.215365,505,relax
1780322299.235948,512,relax
1780322299.256371,506,relax
1780322299.276953,517,relax
1780322299.297162,524,relax
1780322299.317212,525,relax
1780322299.338082,531,relax
1780322299.358155,520,relax
1780322299.379181,542,relax
1780322299.399969,526,relax
1780322299.419981,555,relax
1780322299.436396,537,relax
1780322299.456338,544,relax
1780322299.477161,543,relax
1780322299.497161,545,relax
1780322299.518028,534,relax
1780322299.538189,542,relax
1780322299.559412,539,relax
1780322299.579176,562,relax
1780322299.596175,544,relax
1780322299.617000,555,relax
1780322299.637165,548,relax
