rms,mav,zc,wl,std,c_rms,c_mav,c_zc,c_wl,c_std,mean,median,min,max,ptp,q25,q75,iemg
513.9908678613833,512.8571428571429,14.0,1285.0,34.11983683000437,34.11983683000437,24.897959183673475,14.0,1285.0,34.11983683000437,512.8571428571429,507.0,435.0,637.0,202.0,495.0,529.0,1220.0000000000002
524.9110781837244,524.68,27.0,1018.0,15.573618718846305,15.573618718846305,12.574399999999995,27.0,1018.0,15.573618718846305,524.68,523.0,490.0,557.0,67.0,515.25,535.75,628.7199999999998
267.15156746685955,255.68,5.0,1154.0,77.44480357002656,77.44480357002656,65.35999999999999,5.0,1154.0,77.44480357002656,255.68,256.5,97.0,396.0,299.0,199.25,320.75,3267.9999999999995
511.6798413070423,511.58,25.0,546.0,10.107601100162196,10.107601100162196,8.62,25.0,546.0,10.107601100162194,511.58,511.5,485.0,529.0,44.0,504.25,519.5,431.0
531.3729951738233,530.46,21.0,1348.0,31.13596634119455,31.13596634119455,25.2416,21.0,1348.0,31.135966341194557,530.46,531.5,477.0,600.0,123.0,508.25,553.0,1262.08
492.8466089971605,484.02,8.0,1375.0,92.85698465920588,92.85698465920588,63.21200000000001,8.0,1375.0,92.85698465920588,484.02,499.0,221.0,662.0,441.0,466.25,521.75,3160.6000000000004
491.5758537601293,490.66,17.0,1203.0,29.99307253350347,29.99307253350347,22.472800000000003,17.0,1203.0,29.993072533503465,490.66,489.5,438.0,598.0,160.0,472.25,502.75,1123.64
497.6369359281925,496.92,22.0,1501.0,26.702689003169706,26.702689003169706,21.024000000000004,22.0,1501.0,26.702689003169706,496.92,494.0,450.0,569.0,119.0,476.25,513.0,1051.2000000000005
504.8858024042543,504.57142857142856,28.0,1062.0,17.81423416191418,17.81423416191418,13.900874635568517,28.0,1062.0,17.814234161914182,504.57142857142856,506.0,454.0,539.0,85.0,493.0,516.0,681.1428571428572
508.9723568132163,508.82,23.0,652.0,12.452614183375314,12.452614183375314,10.0272,23.0,652.0,12.452614183375312,508.82,509.0,480.0,538.0,58.0,500.5,518.75,501.36
540.4138414215536,540.0,26.0,1093.0,21.14521222404732,21.14521222404732,16.68,26.0,1093.0,21.14521222404732,540.0,540.5,481.0,584.0,103.0,527.0,554.5,834.0
588.5500169475655,588.2244897959183,29.0,1120.0,19.57222658031325,19.57222658031325,14.88213244481466,29.0,1120.0,19.57222658031325,588.2244897959183,588.0,533.0,636.0,103.0,578.0,603.0,729.2244897959183
512.0304483133791,511.78,22.0,884.0,16.012857334030052,16.012857334030052,13.291199999999998,22.0,884.0,16.012857334030052,511.78,510.0,480.0,545.0,65.0,500.25,522.5,664.56
257.9837204166185,247.12,1.0,890.0,74.0763498020792,74.0763498020792,65.1744,1.0,890.0,74.0763498020792,247.12,237.5,97.0,358.0,261.0,197.25,321.5,3258.7200000000003
535.5895256630772,535.3,32.0,1055.0,17.608236708995026,17.608236708995026,14.043999999999995,32.0,1055.0,17.608236708995026,535.3,534.0,503.0,587.0,84.0,521.25,543.75,702.1999999999998
507.9351336538948,507.74,30.0,850.0,14.07808225576197,14.07808225576197,10.9104,30.0,850.0,14.078082255761968,507.74,508.0,478.0,545.0,67.0,498.0,515.0,545.52
499.1697306528112,498.5,26.0,1563.0,25.84898450616581,25.84898450616581,20.58,26.0,1563.0,25.84898450616581,498.5,498.5,446.0,567.0,121.0,477.5,516.25,1029.0
567.0559677741124,566.5098039215686,17.0,990.0,24.88197437867745,24.88197437867745,19.972318339100344,17.0,990.0,24.88197437867745,566.5098039215686,564.0,503.0,615.0,112.0,552.5,584.0,1018.5882352941176
499.35856856571513,499.22,21.0,547.0,11.763145837742556,11.763145837742556,9.371199999999998,21.0,547.0,11.763145837742556,499.22,500.0,474.0,526.0,52.0,491.25,504.0,468.56
488.0192209329464,487.36,11.0,1003.0,25.35725537198377,25.35725537198377,21.1712,11.0,1003.0,25.357255371983776,487.36,490.5,438.0,546.0,108.0,466.25,502.75,1058.56
525.9786497568128,525.9,21.0,492.0,9.095603333479314,9.095603333479314,7.291999999999998,21.0,492.0,9.095603333479314,525.9,525.0,507.0,550.0,43.0,520.0,531.75,364.5999999999999
511.6911959375498,511.52,26.0,798.0,13.235165280418675,13.235165280418675,10.5008,26.0,798.0,13.235165280418675,511.52,511.0,492.0,544.0,52.0,500.0,518.0,525.04
